,playlistURI,participant,rating,playlistID,TrackName,TrackID,SampleURL,ReleaseYear,Genres,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,Popularity,Downloaded
12,https://open.spotify.com/playlist/37i9dQZF1DWYcDQ1hSjOpY?si=a7eyngwmTDqfZYCJ37PvQw,Ole,5,37i9dQZF1DWYcDQ1hSjOpY,Norrbotten,5ardBAnHzOgVgwbC7lUeoj,https://p.scdn.co/mp3-preview/39bdc49ef3ecc411779312d1f12ad1c4b3ad734d?cid=a91ed9edffbc4349b0ae66ad2680900a,2021-01-05,[unknown],0.161,0.0276,-31.676,0.043,0.797,0.833,0.106,0.083,69.962,1,1,156000,63.0,1
13,https://open.spotify.com/playlist/37i9dQZF1DWYcDQ1hSjOpY?si=a7eyngwmTDqfZYCJ37PvQw,Ole,5,37i9dQZF1DWYcDQ1hSjOpY,Turndown Service,56y8h73SZXnIzR0fGSQlca,https://p.scdn.co/mp3-preview/554e64aa24802b4369353be80554e5b3c17a0d92?cid=a91ed9edffbc4349b0ae66ad2680900a,2021-01-04,[unknown],0.164,0.0188,-34.105,0.0341,0.946,0.893,0.081,0.0593,71.96,10,1,115800,68.0,1
14,https://open.spotify.com/playlist/37i9dQZF1DWYcDQ1hSjOpY?si=a7eyngwmTDqfZYCJ37PvQw,Ole,5,37i9dQZF1DWYcDQ1hSjOpY,Querencia,4VdLOyYe6ZEyLx0LbYdyvy,https://p.scdn.co/mp3-preview/defdb278de741fbef3321d18c3fcd3bf19c1d7a8?cid=a91ed9edffbc4349b0ae66ad2680900a,2020-11-05,[unknown],0.17,0.00316,-38.615,0.0422,0.991,0.931,0.111,0.0946,70.964,5,0,194649,68.0,1
15,https://open.spotify.com/playlist/37i9dQZF1DWYcDQ1hSjOpY?si=a7eyngwmTDqfZYCJ37PvQw,Ole,5,37i9dQZF1DWYcDQ1hSjOpY,Schlafmittel,6AYzbLak1YhYu5litfcTdV,https://p.scdn.co/mp3-preview/501608a9731d758df04b58404942904a9ba662e0?cid=a91ed9edffbc4349b0ae66ad2680900a,2020-10-16,[unknown],0.152,0.012,-34.256,0.0458,0.938,0.805,0.101,0.0939,68.978,0,1,168000,69.0,1
16,https://open.spotify.com/playlist/37i9dQZF1DWYcDQ1hSjOpY?si=a7eyngwmTDqfZYCJ37PvQw,Ole,5,37i9dQZF1DWYcDQ1hSjOpY,La amabilidad,75skmcKUZLzncei8MyjeNs,https://p.scdn.co/mp3-preview/21557b1221e937c238f04815d2df3b91ba0ef646?cid=a91ed9edffbc4349b0ae66ad2680900a,2021-01-27,[unknown],0.154,0.0121,-33.914,0.041,0.936,0.675,0.134,0.0379,135.653,11,1,143406,61.0,1
17,https://open.spotify.com/playlist/37i9dQZF1DWYcDQ1hSjOpY?si=a7eyngwmTDqfZYCJ37PvQw,Ole,5,37i9dQZF1DWYcDQ1hSjOpY,Tones Of Sleep,5zPyzOoJXDOYmw3sTwkbMH,https://p.scdn.co/mp3-preview/553dff93c9b0776ece1083335f5da942162e4bf6?cid=a91ed9edffbc4349b0ae66ad2680900a,2021-01-27,[unknown],0.218,0.0185,-33.584,0.0787,0.9,0.769,0.109,0.489,143.386,0,0,132261,60.0,1
18,https://open.spotify.com/playlist/37i9dQZF1DWYcDQ1hSjOpY?si=a7eyngwmTDqfZYCJ37PvQw,Ole,5,37i9dQZF1DWYcDQ1hSjOpY,Universo,48mOMNLnlbok3W6anP7sTS,https://p.scdn.co/mp3-preview/c767ce200a853fb3fe3a91fe448904905d12f3ee?cid=a91ed9edffbc4349b0ae66ad2680900a,2020-06-08,[unknown],0.0697,0.0936,-22.559,0.0459,0.971,0.84,0.09,0.0262,76.302,3,1,176953,63.0,1
19,https://open.spotify.com/playlist/37i9dQZF1DWYcDQ1hSjOpY?si=a7eyngwmTDqfZYCJ37PvQw,Ole,5,37i9dQZF1DWYcDQ1hSjOpY,The Journey,77Fs2NajDBQaOOZkYDsFLE,https://p.scdn.co/mp3-preview/2d8351f57b42cb238c329303a378bcb123b82f3c?cid=a91ed9edffbc4349b0ae66ad2680900a,2020-04-10,[unknown],0.165,0.0375,-30.391,0.0446,0.93,0.939,0.0855,0.0654,75.222,9,1,157000,65.0,1
20,https://open.spotify.com/playlist/37i9dQZF1DWYcDQ1hSjOpY?si=a7eyngwmTDqfZYCJ37PvQw,Ole,5,37i9dQZF1DWYcDQ1hSjOpY,always,5Nusgvqw46McIdfuqrvM4c,https://p.scdn.co/mp3-preview/cef392818732a423711b45cb8e2c234754ac240f?cid=a91ed9edffbc4349b0ae66ad2680900a,2020-03-20,[unknown],0.196,0.0409,-27.052,0.0422,0.989,0.997,0.0867,0.0342,67.264,7,1,176500,64.0,1
21,https://open.spotify.com/playlist/37i9dQZF1DWYcDQ1hSjOpY?si=a7eyngwmTDqfZYCJ37PvQw,Ole,5,37i9dQZF1DWYcDQ1hSjOpY,Stellaristique Vision,0MufjWQZiuRDaL2pLgQ2f7,https://p.scdn.co/mp3-preview/8ef68bf48b44052885d3b8f7a04ac5a93eefb2a2?cid=a91ed9edffbc4349b0ae66ad2680900a,2020-06-29,[unknown],0.22,0.162,-22.44,0.0332,0.802,0.913,0.105,0.039,63.806,1,0,206769,62.0,1
