,playlistID,playlistName,nTracks,type,owner,category
248,46D4NYYcmfH9WjN9gt490f,Norwegian Black Metal 🤟🏻,137,user,ricardosalinas6672,Norwegian
249,0VnThDMue1uf5lHj2TD5wh,Norwegian Black Metal,30,user,cemilovsyki,Norwegian
250,2WTAoXXnAfBUmSZAJLK6sa,Black Metal,118,user,javierparedes17hc,Norwegian
251,1XwlSjAKsqZlCdMjzEZ8ci,Norwegian black metal,183,user,i49ozzm0ccq7zyr9pkdl905j4,Norwegian
252,2LkPfkJ09IBSSz7qrc1M59,Norwegian Black Metal,106,user,welderiv,Norwegian
253,1lInaHCTH9QGuE38gacTaj,Daily Playlist ,29,user,119198533,Norwegian
254,7yOXm4rjb1EuVgSrTaXurq,| Norwegian Black Metal |,249,user,raceai,Norwegian
255,2jJ493sD4VV3NF330mD9mB,Mayhem + Burzum,42,user,tomas_dahlheim,Norwegian
256,3q1RPRivvsLmwYTPNSUado,💊 Merf's Death Metal,468,user,draw3cards,Norwegian
257,1NF16bzZrkSavLZsfNVvWo,Norwegian Black Metal (non-atmospheric),128,user,trevbork,Norwegian
258,2udaxbLNZpnZ6iYQw2Fclq,Natasmi's Norwegian Black Metal Playlist,38,user,ce7dfs1jdzfevgdj1hd0jngdl,Norwegian
259,1EPWFpEYHV9WLbDCfTlyaP,🇳🇴True Norwegian Black Metal🇳🇴,36,user,l0qevcwd081a73vih3a9pcw1w,Norwegian
260,2VTxlOKmEPEKLSlXCKZrCA,Satyricon: The Essentials,22,user,jonathanterra,Norwegian
261,48ZnAyEYSs6eZul8np8TMh,Norwegian black metal,54,user,fstwni438nfh922p5gpe5ol8d,Norwegian
262,0DykjeUR2UyFkqfC95yoQK,True Norwegian black metal,23,user,112111718,Norwegian
263,5EvysBW77rkAZhxObFZl2G,Norwegian Black Synth Metal,53,user,moida1,Norwegian
264,2eiJDTgjoUlVwhFKe3Bke8,Norwegian Raw Black Metal,88,user,31gskrvpbumkdbro5cy3gqfrbxme,Norwegian
265,5wlANXqxuu02d7GS0qFs7S,Black Metal ⚫⚪⚫,115,user,1162073913,Norwegian
266,5b6Ww9AkjN5ozEdpGSh5Bh,Marvin,1123,user,kvelertakofficial,Norwegian
267,0JUKYnD0KWG5N3MaeRhqpf,Norge Svart,46,user,1168843015,Norwegian
268,5ijCh4TAYPSiCEWM7va1Lp,This is: TrollfesT,53,user,1190150028,Norwegian
269,15TPBn3ooIzLnzEUq7f6Ta,𝖇𝖑𝖆𝖈𝖐 𝖒𝖊𝖙𝖆𝖑,27,user,21uen7idtryx6jioka4w5jroi,Norwegian
